times,nn_ft,nf_ft,nn_st,nf_st
1.45,3.6279212708123975e-7,0.2292302014270866,0.00043678125601088916,1.5520510248841934
1.46,7.137033823514231e-8,0.23100755604446743,0.00045173968700024184,1.5541799281482427
1.47,1.8396941089071242e-8,0.22822437199965673,0.00046711146861215037,1.5565608381232925
1.48,1.2325693537298388e-8,0.2214133601372014,0.00048290507307827395,1.5592652960410878
1.49,1.1254714265441414e-8,0.21124614572509864,0.0004991292037047954,1.5625757365316537
1.5,1.0261377548090391e-8,0.19865315128791158,0.000515792168952863,1.5662819823774405
1.51,9.253390644927032e-9,0.18461092948113614,0.0005329027868538516,1.5778732064435577
1.52,8.272625382033879e-9,0.16949848479526594,0.0005504702569427535,1.5902163331260732
1.53,1.1788348749260983e-8,0.1544774020123904,0.0005685029357429665,1.5999000854164254
1.54,6.031289748972984e-8,0.13998533056531812,0.0005870091120258482,1.606978379903512
1.55,3.658020242709729e-7,0.12636730087022913,0.0005563382742887741,1.6113485226255442
1.56,1.5249763525674712e-6,0.11409951705899674,0.0005738663736638087,1.6128984039487595
1.57,5.1159260218525165e-6,0.10318743205606179,0.0005918321313575562,1.6209166340056433
1.58,1.4568869772544523e-5,0.09366077050078325,0.0006096709968018497,1.6324400229879095
1.59,3.653032567541056e-5,0.08540868543911462,0.0006285009199294948,1.6440797746982196
1.6,8.27568581628661e-5,0.0783820658791937,0.0006477910973552495,1.6554238606203504
1.61,0.00017256955619983157,0.07249359984030264,0.0006675494757608675,1.6659838532450315
1.62,0.0003358545973965676,0.06770663080657814,0.0006877840599184957,1.675431421476817
1.63,0.0006242762587846047,0.06401367696775898,0.0003982695378028289,1.6833515543091528
1.64,0.001086810943647615,0.06153473867492854,0.00041204898614845243,1.6900383310501574
1.65,0.0018126034176063658,0.0603081829556378,0.0004262017561967678,1.6952694464738258
1.66,0.002910708271130449,0.060480014103189754,0.0004407348208695845,1.699351885553047
1.67,0.004524531903534281,0.06207626843523843,0.0005053588782463352,1.702322876080219
1.68,0.006813737057899305,0.06509962154073307,0.0005230399065196112,1.704468562784942
1.69,0.00998435599230161,0.06927928032265838,0.000541219082625289,1.7061484924209456
1.7,0.01427079931517717,0.07463537054715115,0.0005599069048602734,1.706497581435352
1.71,0.01993817247218288,0.08064351801508564,0.0005791139416747371,1.7055275682492956
1.72,0.02727840753051993,0.0868055011933571,0.0005986489370435618,1.702838257157746
1.73,0.036574387797374,0.09250591134240184,0.0007741779194550864,1.6978788126088764
1.74,0.04820555017185626,0.09717468415443775,0.0008003235833394643,1.690452799525311
1.75,0.062474623844219174,0.1001916269039046,0.0008271808752794863,1.6801473026928306
1.76,0.0796993814005218,0.10104957582475738,0.0008547642613031786,1.666770929910887
1.77,0.10018772385718679,0.09947095091075357,0.0001500142775058148,1.6502139904223176
1.78,0.12418546674170917,0.09527080138335953,0.00015495531613273663,1.6308612395315016
1.79,0.15189550793209167,0.0886339142794074,0.00016002690495000416,1.609357104408084
1.8,0.18345160107202507,0.07998893239244516,0.00016523160180859585,1.5891931653829745
1.81,0.21890434350538493,0.0700305244452026,0.00017057200946471904,1.567227509459195
1.82,0.25820848928480616,0.059681162461298884,0.00017605077803011939,1.5437444401967853
1.83,0.301212597598305,0.0500278571487236,0.0001816706071860577,1.5189592350625192
1.84,0.34765168982253364,0.042239006904900234,0.00018743424769552327,1.4930420034982699
